,post_date,post_text
35,2021-05-13 15:47:00,"Учёные из Оксфордского университета выяснили, что пользоваться смартфоном лучше не более 2 часов в день 🤯

Рассказываем, как минимизировать экранное время в вашем смартфоне и не зависать в соцсетях 👇"
36,2021-05-13 09:01:00,"В новом выпуске рубрики ЭтоИзи рассказали, что такое эмоциональный интеллект, почему он считается ключевым качеством каждого сотрудника и как его развить. 
 
Узнайте, насколько развит ваш EQ → http://netolo.gy/gxk"
37,2021-05-12 14:00:04,"Сохранять спокойствие на работе — важный софт-скилл. Разыгрываем доступ к курсу, который поможет найти баланс между работой и личной жизнью 😉

Правила просты:
▪️подпишитесь на Нетологию
▪️придумывайте слова из слова «стрессоустойчивость»
▪️пишите их в комментариях

Важно: одно слово — один комментарий. Повторять слова, которые писали другие участники, нельзя. Засчитываются только реально существующие слова, которые состоят из трёх и более букв. У каждого участника есть три права на ошибку, репост добавляет ещё три. Время между попытками — 1 минута. 

Конкурс закончится через 24 часов. 

🎁 Трём самым активным участникам подарим доступ к курсу «Work-life balance», который стартует 17 мая → http://netolo.gy/gxB"
38,2021-05-12 08:43:00,"Запустили бесплатный курс по автоматизации маркетинга и продаж 🤖 
 
За 16 часов теории и практики узнаете, как улучшить бизнес-процессы с помощью клиентских данных, зачем внедрять автоматизацию и какие выбрать инструменты. В конце курса — разбор кейсов с экспертами. 
 
Ждём вас на занятиях → http://netolo.gy/gxj"
39,2021-05-11 14:52:00,"Рассказываем, как подчеркнуть достижения в резюме, чтобы вас точно позвали на собеседование 👇"
40,2021-05-11 08:11:00,"Майские выходные — затратное время 🤑 
 
Но экономить на образовании — не выход, получить часть денег обратно поможет статья из Медиа → http://netolo.gy/gvv"
41,2021-05-10 15:43:00,"Моушн-дизайн сейчас на пике популярности: его используют в рекламных роликах, кино и ТикТоке 🏃‍♀ 
 
В Медиа рассказали об истории анимационной графики и будущем моушн-дизайна → http://netolo.gy/gvu"
42,2021-05-10 07:07:00,"🤩 Запустили курс по основам Canva 
 
За шесть блоков по 30-40 минут научитесь: 
 
✔ Подбирать шрифты и цветовую палитру 
✔ Делать тени, градиенты и другие визуальные эффекты 
✔ Оформлять презентации графикой 
 
Начать учиться можно прямо сейчас → http://netolo.gy/gvt"
43,2021-05-09 07:27:00,"Искусственный интеллект умеет управлять автомобилем, распознавать лица, писать программный код и даже книги 😱 
 
Собрали 5 интересных книг, чтобы понять, на что ещё способен ИИ:
 
🔶 «Верховный алгоритм», Педро Домингос 
Алгоритмы давно управляют нашей жизнью. Они находят для нас фильмы, книги и даже партнёров на сайтах знакомств. Педро Домингос, автор книги и эксперт по искусственному интеллекту, рассказывает, как идеи из биологии, физики и статистики помогают создавать алгоритмы, с которыми мы встречаемся каждый день. 
 
🔶 «Искусственный интеллект на службе бизнеса», Аджей Агравал, Джошуа Ганс, Ави Голдварб 
Эта книга даёт максимум информации об искусственном интеллекте без сложных технических терминов. Авторы книги расскажут, как использовать искусственный интеллект в своём бизнесе, чтобы сделать его более конкурентоспособным. Предприниматели также найдут в этой книге полезную информацию о возможностях ИИ, которые можно применить на практике. 
 
🔶 «Сверхдержавы искусственного интеллекта», Кай-Фу Ли 
Кай-Фу Ли сделал головокружительную карьеру: он успел поработать в Apple, Google и Microsoft. В своей книге он рассказывает, почему искусственный интеллект может лишить многих работы и почему противостояние США и Китая может привести к катастрофе. Однако, несмотря на некоторый пессимизм, автор уверен, что искусственный интеллект не заменит человеческий профессионализм: машины никогда смогут заменить воспитателей или врачей. 
 
🔶 «Искусственный интеллект. Иллюстрированная история. От автоматонов до нейросетей», Пиковер Клиффорд 
Книга для тех, кто хочет без лишних деталей узнать самое важное об искусственном интеллекте. Автор с помощью иллюстраций рассказывает об истории создания интеллектуальных систем: от первых задумок древних философов до последних разработок современных учёных. По ходу книги автор призывает поразмышлять, какие отношения с искусственным интеллектом нас ждут в будущем и как это отразится в нашей культуре спустя несколько веков. 
 
🔶 «Искусственный интеллект на практике. 50 кейсов успешных компаний», Бернард Марр и Мэтт Уорд 
Эта книга будет полезна предпринимателям и руководителям. Потому что «Искусственный интеллект на практике» расскажет о 50 реальных кейсах применения ИИ компаниями со всего мира. Для удобства все примеры распределены по категориям: технологии, продажи, медиа и финансы. Кстати, чтение одной главы этой книги занимает не больше 5 минут в день."
44,2021-05-08 08:49:00,"С таким количеством новых фич Инстаграм становится магазином на диване 📺 
 
В подборке статей — руководство, как продавать, покупать и продвигать в соцсети: 
 
⚫ Как привлекать клиентов в интернет-магазин в Инстаграме→ http://netolo.gy/gvh 
 
⚫ Как провести лотерею в Инстаграм за 72 часа → http://netolo.gy/gvi
 
⚫ Как проверить блогера на накрутку подписчиков и просмотров → http://netolo.gy/gvj 
 
⚫ 10 полезных сервисов для работы с блогерами → http://netolo.gy/gvk 
 
⚫ 9 Телеграм-ботов, которые упрощают работу с Инстаграмом → http://netolo.gy/gvl"
45,2021-05-07 08:17:00,"Пора отвлечься от огорода и шашлыков 👨‍🌾 

С новыми силами врываемся на бесплатные занятия этой недели — выбирайте, тем много: 
 
🔷11 мая, 19:00 — Маркетплейсы: как выбрать площадку для размещения товаров 
Разберётесь что из себя представляют маркетплейсы, проанализируете популярные площадки и поймёте, какая подходит для вашего продукта → http://netolo.gy/gva

🔷12 мая, 18:00 — Разработка мобильных приложений на IOS и Android: с чего начать? 
Поговорим о сходствах и различиях iOS и Android разработки, расскажем про необходимые навыки и узнаем, как стать востребованными специалистом→ http://netolo.gy/gvc 
 
🔷13 мая, 16:00 — Как специалисту в сфере финансов работать удалённо 
Узнаем, как устроена работа финансиста на удалёнке, познакомимся с лайфхаками и специальными инструментами, научимся выстраивать отношения с клиентами → http://netolo.gy/gvd
 
🔷13 мая, 17:00 — SMM-менеджер: что делает и куда расти 
Всё о перспективах рынка, направлениях и специализациях в SMM, необходимых навыках и карьерных траекториях → http://netolo.gy/gve 
 
🔷13 мая, 19:00 — Как начать в Data Science 
Тренды в Data Science, карьерные траектории и подробности о курсах Нетологии — всё здесь → http://netolo.gy/gvf"
46,2021-05-06 16:01:00,"Часто именно негативные убеждения мешают нам нормально работать и продвигаться в карьере

Рассмотрим распространённые установки, которые тормозят нас 👇"
47,2021-05-06 09:01:00,"Спокойно отдыхаем и остаёмся в курсе всего с НетоNews. В новой подборке рассказываем про виртуальные олимпийские игры, самую маленькую камеру Polaroid и поющие стикеры в Одноклассниках 🤐

Смотрите, пока переворачиваете шампуры → http://netolo.gy/gwn"
48,2021-05-05 09:37:00,"🧶 18 мая стартует бесплатный интенсив «Как стартовать и развиваться в индустрии моды» 
 
Индустрия моды — не только про одежду. Когда человек покупает вещь, вместе с ней он покупает и возможность высказаться без слов. В рамках интенсива узнаете, как создать коллекцию одежды и как стилисту работать с клиентами и образами. 
 
👑 Помогайте другим самовыражаться → http://netolo.gy/guV"
49,2021-05-04 14:31:00,"Может показаться, что в постоянной усталости и нежелании что-либо делать нет ничего серьёзного. Однако, всё это может быть признаком эмоционального выгорания — синдрома, который недавно внесли в Международную классификацию болезней. 
 
Рассказываем, как этого избежать 👇🏻"
